bucket,collection,category,rn,title,prompt_title,filename
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205663,Cornfed chicken butternut veloute,Cornfed chicken butternut veloute,12205663.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205664,Cider Pressed Belly of Pork,Cider Pressed Belly of Pork,12205664.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205665,Rosemary Lamb Cutlet Confit of Lamb,Rosemary Lamb Cutlet Confit of Lamb,12205665.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205666,hake lemon infused potatoes samphire and,hake lemon infused potatoes samphire and,12205666.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205667,Seabass (GF) dill buttered fondant potato,Seabass (GF) dill buttered fondant potato,12205667.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205668,Chalk Steam Trout (GF) chard golden carrot,Chalk Steam Trout (GF) chard golden carrot,12205668.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205669,Parsley Crusted Cod Loin potato cake crushed,Parsley Crusted Cod Loin potato cake crushed,12205669.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205760,Stuffed Caraway Cabbage carrot puree,Stuffed Caraway Cabbage carrot puree,12205760.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205761,Artichoke Tart (V) potato terrine smoky,Artichoke Tart (V) potato terrine smoky,12205761.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205762,Purple Sprouting Broccoli & Feta Strudel (VE),Purple Sprouting Broccoli & Feta Strudel (VE),12205762.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12205763,Thyme & shallot Tart,Thyme & shallot Tart,12205763.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12219003,Chicken asparagus carrot & hollandaise,Chicken asparagus carrot & hollandaise,12219003.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12219004,Wrapped Nori Cod,Wrapped Nori Cod,12219004.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12219005,Seabass jersey royals caper butter sauce,Seabass jersey royals caper butter sauce,12219005.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12219006,Cider butternut belly celeriac remoulade,Cider butternut belly celeriac remoulade,12219006.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12219007,Asparagus black garlic Linguini,Asparagus black garlic Linguini,12219007.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12269857,Roast chicken breast fregola butternut,Roast chicken breast fregola butternut,12269857.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12270491,Roast turkey breast stuffing cranberry sauce,Roast turkey breast stuffing cranberry sauce,12270491.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12270492,Roast beef sirloin herb roast potatoes,Roast beef sirloin herb roast potatoes,12270492.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12270495,Venison Meatball sprouts bacon cranberries,Venison Meatball sprouts bacon cranberries,12270495.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12270496,Pork tenderloin pork cheek fondant potato,Pork tenderloin pork cheek fondant potato,12270496.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12270540,Hake Chorizo & Squid Ink Ragu,Hake Chorizo & Squid Ink Ragu,12270540.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12270541,Hazelnut Crusted Cod artichokes shitake,Hazelnut Crusted Cod artichokes shitake,12270541.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12270542,Beet Wellington Hassleback Potato Heritage,Beet Wellington Hassleback Potato Heritage,12270542.webp
Hospitality / Plated menus / Mains,Hospitality,Plated menus / Mains,12272266,Turkey Wellington roasted roots chateau,Turkey Wellington roasted roots chateau,12272266.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12204927,Chipotle Cauliflower Flat Bread,Chipotle Cauliflower Flat Bread,12204927.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12204928,Veggie Dog,Veggie Dog,12204928.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12204929,Smoked Duck and chicken terrine,Smoked Duck and chicken terrine,12204929.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205580,Mackerel Rillettes,Mackerel Rillettes,12205580.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205581,Smoked Haddock Fishcakes,Smoked Haddock Fishcakes,12205581.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205582,White Onion Velouté,White Onion Veloute,12205582.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205583,Heritage Beetroot Carpaccio,Heritage Beetroot Carpaccio,12205583.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205584,Smoked Salmon Tartare,Smoked Salmon Tartare,12205584.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205585,Piccolo Tomato Tart,Piccolo Tomato Tart,12205585.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205586,Glazed Smoked Duck,Glazed Smoked Duck,12205586.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205587,Charred Mackerel,Charred Mackerel,12205587.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12205588,Honey Roasted Heritage Carrots,Honey Roasted Heritage Carrots,12205588.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12212001,Yellowfin Tuna,Yellowfin Tuna,12212001.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12243783,Salad of Asparagus,Salad of Asparagus,12243783.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12243789,Crab Lasagne,Crab Lasagne,12243789.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12245102,Ham Hock Terrine,Ham Hock Terrine,12245102.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12270389,Juniper cured trout horseradish crème frachie,Juniper cured trout horseradish creme frachie,12270389.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12270410,Chicken & Ham Terrine endive salad Truffle,Chicken & Ham Terrine endive salad Truffle,12270410.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12270411,Winter squash veloute mapleand hazlenuts,Winter squash veloute mapleand hazlenuts,12270411.webp
Hospitality / Plated menus / Starters,Hospitality,Plated menus / Starters,12270412,Roasted squash pear toasted pumpkin seeds,Roasted squash pear toasted pumpkin seeds,12270412.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205589,Rhubarb sphere,Rhubarb sphere,12205589.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205610,Passion fruit delice,Passion fruit delice,12205610.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205611,Warm Treacle tart,Warm Treacle tart,12205611.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205612,Dark Chocolate Truffle Torte,Dark Chocolate Truffle Torte,12205612.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205613,Eaton Mess,Eaton Mess,12205613.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205614,Blueberry Cheesecake,Blueberry Cheesecake,12205614.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205615,Chocolate Nemesis,Chocolate Nemesis,12205615.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205616,White chocolate trifle,White chocolate trifle,12205616.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205617,Chocolate fondant,Chocolate fondant,12205617.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205618,Local Cheese plate,Local Cheese plate,12205618.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12205619,Lemon tart,Lemon tart,12205619.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12216667,Lemon Bake Cheesecake Coconut Ice cream,Lemon Bake Cheesecake Coconut Ice cream,12216667.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12216668,Hot Cross Bun bread pudding,Hot Cross Bun bread pudding,12216668.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12216669,Chocolate Mousse,Chocolate Mousse,12216669.webp
Hospitality / Plated menus / Desserts,Hospitality,Plated menus / Desserts,12219001,White Chocolate Brulé,White Chocolate Brulee,12219001.webp
Hospitality / Fine dining,Hospitality,Fine dining,12210871,Lamb Rump Courgette and Grilled Potatoes served,Lamb Rump Courgette and Grilled Potatoes served,12210871.webp
Hospitality / Fine dining,Hospitality,Fine dining,12210879,Glazed Aubergine Grilled Baby Gem & Roasted King,Glazed Aubergine Grilled Baby Gem & Roasted King,12210879.webp
